,0,1,2,3,4,5,6,7,8,9
agent_0,15572.279759481171,21217.91850053586,26722.41627306418,32089.301601279294,37322.01479628903,42423.910161423526,47398.25814242965,52248.24742391062,56976.98697335458,61587.508034062426
agent_1,477656.4662933969,470949.7615241802,464410.72437419393,458035.16315295734,451818.9909622516,445758.22307631356,439848.97438752395,434087.45691595407,428469.97738117346,422992.93483476236
agent_2,223173.312773505,223451.47281046116,223722.67884649342,223987.1047316249,224244.91996962807,224496.28982668117,224741.37543730793,224980.33390766903,225213.3184162711,225440.4783121581
agent_3,168798.80775188055,171426.64817279487,173988.79258318635,176486.88338331803,178922.52191344643,181297.2694803216,183612.64835802492,185870.14276378564,188071.19980940234,190217.23042887863
agent_4,24243.027473898546,32762.364497495135,41068.71809550181,49167.412853558315,57063.640242663416,64762.46194704088,72268.81310880891,79587.50549153275,86723.23056468849,93680.56251101533
agent_5,837301.1696399319,823391.9572910897,809830.4752509686,796608.0302618506,783716.1463974605,771146.5596296801,758891.2125310942,746942.249109973,735292.0097743798,723933.0264221764
agent_6,460019.52713323577,454267.1790935849,448658.6397549253,443190.31389973214,437858.69619091885,432660.36892482586,427591.9998403852,422650.3399830556,417832.22162215924,413134.55622028525
agent_7,57503.01808688321,61354.13981183179,65108.98349365666,68769.95608343591,72339.40435847068,75819.61642662957,79212.82319308449,82521.19979037804,85746.86697273926,88891.89247554143
agent_8,15158.763243113895,19762.13677163855,24250.425961950084,28626.50792250383,32893.18783404374,37053.20074779514,41109.213338702764,45063.8256148377,48919.572584069254,52678.92587907002
agent_9,14102.933811251514,18991.788488258782,23758.421798340867,28405.889275670903,32937.17006606769,37355.16883670455,41662.71763807549,45862.57771941216,49957.441298715414,53949.933288536085
agent_10,241634.14379029872,243141.10869018678,244610.39946757763,246042.95797553373,247439.70252079092,248801.52845241668,250129.30873575178,251423.89451200352,252686.11564384896,253916.78124739826
agent_11,108462.5237337624,116380.81911444064,124101.15711060193,131628.48665685917,138967.63296445998,146123.3006143708,153100.07657303382,159902.43313273028,166534.7307784343,173001.22098299576
agent_12,468912.59569110326,466999.83649781113,465134.8962843513,463316.579576228,461543.72078580776,459815.18346514803,458129.8595775048,456486.6687870526,454884.55776636174,453322.49952118815
agent_13,21851.635101920656,32426.573595588015,42737.13862691369,52789.93953245623,62591.4204153602,72147.86427619157,81465.39704050215,90549.99148570497,99407.47106977772,108043.51366424865
agent_14,7513.667660635534,14697.44826387146,21701.634352026485,28530.71578797764,35189.07018803001,41680.96572808108,48010.56387963086,54181.92207739191,60198.99632020893,66065.64370695552
agent_15,1857044.2232528902,1817321.3092814758,1778591.4681593468,1740829.873065271,1704012.3178485471,1668115.2015122413,1633115.5130843432,1598990.8168671425,1565719.2380553717,1533279.4487138954
agent_16,238741.97541261854,238107.44652409278,237488.7808577802,236885.5818331254,236297.462784087,235724.04671127454,235164.9660402824,234619.86238606504,234088.38632320313,233570.19716191277
agent_17,73228.8587096379,82011.19843084387,90573.9796590197,98922.69135649111,107062.68526152574,114999.1793189345,122737.26102490806,130281.89068823228,137637.90460997337,144810.01818367094
agent_18,306112.89236365113,303509.8089932687,300971.8027071458,298497.246578176,296084.55435243045,293732.17943232856,291438.61388522916,289202.3874768073,287022.06672859594,284896.2539990899
agent_19,89635.01833094501,100715.72885839299,111519.42162265477,122053.02206781002,132323.2825018364,142336.7864250121,152099.9527501084,161619.03991707732,170900.149904872,179949.2321429718
